job_id,job_title,company,location,job_description,experience,education,salary_lpa,job_type,required_skills
JOB170910, Data Analyst,HCLTech,"Delhi, India","We are hiring a Data Analyst at HCLTech in Delhi, India. The role requires 3-6 years of experience and BCA or a related qualification. The candidate will build reports, dashboards, models or automated workflows, and work on projects involving Tableau, Power BI, Excel, SQL. Key responsibilities include develop and maintain solutions related to data analyst, solving technical problems, improving performance, and communicating results. Experience with Tableau, Power BI, Excel, SQL is preferred. This is a full-time opportunity.",3-6 years,BCA,6.4,Full-time,"Power BI, Excel, Tableau, Pandas, SQL"
JOB003446,Data Scientist,Siemens,"Pune, Maharashtra","We are hiring a Data Scientist at Siemens in Pune, Maharashtra. The role requires 3-6 years of experience and BCA or a related qualification. The candidate will write documentation and perform testing, and work on projects involving Machine Learning, Pandas, NumPy, Scikit-learn, Python. Key responsibilities include develop and maintain solutions related to data scientist, solving technical problems, improving performance, and communicating results. Experience with Machine Learning, Pandas, NumPy, Scikit-learn, Python is preferred. This is a contract opportunity.",3-6 years ,BCA,8.1,Contract,"Machine Learning, Scikit-learn, Pandas, NumPy, Python, SQL"
JOB174135,Cloud Engineer,Capgemini,"Chennai, Tamil Nadu","We are hiring a Cloud Engineer at Capgemini in Chennai, Tamil Nadu. The role requires 1-3 years of experience and Any Graduate or a related qualification. The candidate will develop and maintain solutions related to cloud engineer, and work on projects involving Kubernetes, Terraform, Docker, CI/CD. Key responsibilities include write documentation and perform testing, solving technical problems, improving performance, and communicating results. Experience with Kubernetes, Terraform, Docker, CI/CD is preferred. This is a contract opportunity.",1-3 years,Any Graduate ,5.3,Contract,"Terraform, Linux, AWS, Docker, Git, Azure, Kubernetes, CI/CD"
JOB048311,Cloud Engineer,LTIMindtree,"Gurugram, Haryana","We are hiring a Cloud Engineer at LTIMindtree in Gurugram, Haryana. The role requires 3-6 years of experience and MSc Data Science or a related qualification. The candidate will build reports, dashboards, models or automated workflows, and work on projects involving AWS, Docker, Git, Azure, Linux, Kubernetes. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with AWS, Docker, Git, Azure, Linux, Kubernetes is preferred. This is a internship opportunity.",3-6 years,MSc Data Science,8.4,Internship,azure | git | linux | kubernetes | aws | docker
JOB252283,Machine Learning Engineer,Mphasis,"Noida, Uttar Pradesh","We are hiring a Machine Learning Engineer at Mphasis in Noida, Uttar Pradesh. The role requires 3-6 years of experience and MSc Data Science or a related qualification. The candidate will collaborate with cross-functional teams, and work on projects involving SQL, Docker, TensorFlow, Machine Learning. Key responsibilities include clean, transform and validate data, solving technical problems, improving performance, and communicating results. Experience with SQL, Docker, TensorFlow, Machine Learning is preferred. This is a part-time opportunity.",3-6 years, MSc Data Science,8.1,Part-time,"machine learning,sql,docker,tensorflow"
JOB191417,AI Engineer,Persistent Systems,"Hyderabad, Telangana","We are hiring a AI Engineer at Persistent Systems in Hyderabad, Telangana. The role requires 5-8 years of experience and BSc Data Science or a related qualification. The candidate will clean, transform and validate data, and work on projects involving Python, TensorFlow, Docker, LLM, Deep Learning, PyTorch, Machine Learning. Key responsibilities include analyze business requirements and convert them into technical solutions, solving technical problems, improving performance, and communicating results. Experience with Python, TensorFlow, Docker, LLM, Deep Learning, PyTorch, Machine Learning is preferred. This is a part-time opportunity.",5-8 years,bsc data science,10.5,PART-TIME,"PyTorch, Deep Learning, Python, NLP, Docker, Machine Learning, TensorFlow, LLM"
JOB190160,Java Developer,Cognida,"Nagpur, Maharashtra","We are hiring a Java Developer at Cognida in Nagpur, Maharashtra. The role requires 1-3 years of experience and BSc Computer Science or a related qualification. The candidate will develop and maintain solutions related to java developer, and work on projects involving Docker, Hibernate, Spring Boot, Java, Microservices, Git, SQL. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with Docker, Hibernate, Spring Boot, Java, Microservices, Git, SQL is preferred. This is a contract opportunity.",1-3 years,BSc Computer Science,4.6, Contract,"Microservices, Spring Boot, Docker, Git, Java, Hibernate, SQL"
JOB199990,Web Developer,IBM," Nashik, Maharashtra","We are hiring a Web Developer at IBM in Nashik, Maharashtra. The role requires 5-8 years of experience and BE Computer Engineering or a related qualification. The candidate will collaborate with cross-functional teams, and work on projects involving Node.js, React, HTML, JavaScript, CSS, REST API. Key responsibilities include analyze business requirements and convert them into technical solutions, solving technical problems, improving performance, and communicating results. Experience with Node.js, React, HTML, JavaScript, CSS, REST API is preferred. This is a full-time opportunity.",5-8 years,BE Computer Engineering,10.5, Full-time ,"React, Node.js, CSS, HTML, JavaScript, REST API, Git"
JOB177730,Machine Learning Engineer,Bosch,"Ahmedabad, Gujarat","We are hiring a Machine Learning Engineer at Bosch in Ahmedabad, Gujarat. The role requires 5-8 years of experience and BCA or a related qualification. The candidate will collaborate with cross-functional teams, and work on projects involving Machine Learning, AWS, SQL, Scikit-learn, Python. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with Machine Learning, AWS, SQL, Scikit-learn, Python is preferred. This is a full-time opportunity.",5-8 years,BCA,10.3,Full-time,"Python, Scikit-learn, SQL, AWS, Machine Learning"
JOB155429,Data Engineer,Infosys,"Chennai, Tamil Nadu","We are hiring a Data Engineer at Infosys in Chennai, Tamil Nadu. The role requires 3-6 years of experience and Any Graduate or a related qualification. The candidate will develop and maintain solutions related to data engineer, and work on projects involving ETL, AWS, Spark, Python. Key responsibilities include analyze business requirements and convert them into technical solutions, solving technical problems, improving performance, and communicating results. Experience with ETL, AWS, Spark, Python is preferred. This is a full-time opportunity.",3-6 years,Any Graduate,7.2,Full-time,"ETL, Airflow, Databricks, Spark, AWS, Python"
JOB087038, NLP Engineer ,ZOHO,"Noida, Uttar Pradesh","We are hiring a NLP Engineer at Zoho in Noida, Uttar Pradesh. The role requires 2-5 years of experience and MSc Data Science or a related qualification. The candidate will write documentation and perform testing, and work on projects involving Machine Learning, Transformers, SQL, PYTHON, spaCy, NLP. Key responsibilities include write documentation and perform testing, solving technical problems, improving performance, and communicating results. Experience w/ Machine Learning, Transformers, SQL, PYTHON, spaCy, NLP is preferred. This is a part-time opportunity. ",2-5 years,MSc Data Science,5.4,Part-time,"Python, Transformers, NLTK, spaCy, Machine Learning, SQL, BERT, NLP"
JOB021700,Cloud Engineer,Infosys,"Hyderabad, Telangana","We are hiring a Cloud Engineer at Infosys in Hyderabad, Telangana. The role requires 3-6 years of experience and MCA or a related qualification. The candidate will clean, transform and validate data, and work on projects involving AWS, Azure, CI/CD, Terraform, Linux. Key responsibilities include write documentation and perform testing, solving technical problems, improving performance, and communicating results. Experience with AWS, Azure, CI/CD, Terraform, Linux is preferred. This is a full-time opportunity.",3-6 years,mca,7.2,Full-time,"Linux, AWS, CI/CD, Azure, Terraform"
JOB029414,Cloud Engineer,Accenture,"Pune, Maharashtra","We are hiring a Cloud Engineer at Accenture in Pune, Maharashtra. The role requires 2-5 years of experience and MBA or a related qualification. The candidate will clean, transform and validate data, and work on projects involving Kubernetes, Docker, AWS, Terraform. Key responsibilities include clean, transform and validate data, solving technical problems, improving performance, and communicating results. Experience with Kubernetes, Docker, AWS, Terraform is preferred. This is a part-time opportunity.",2-5 years,MBA,4.8,Part-time,"AWS, Docker, Kubernetes, Terraform, Azure"
JOB298535, Machine Learning Engineer, Siemens,"Pune, Maharashtra","We are hiring a Machine Learning Engineer at Siemens in Pune, Maharashtra. The role requires 2-5 years of experience and BE Computer Engineering or a related qualification. The candidate will clean, transform and validate data, and work on projects involving Scikit-learn, PyTorch, AWS, Python, Machine Learning, TensorFlow, SQL. Key responsibilities include collaborate with cross-functional teams, solving technical problems, improving performance, and communicating results. Experience with Scikit-learn, PyTorch, AWS, Python, Machine Learning, TensorFlow, SQL is preferred. This is a full-time opportunity.",2-5 years,BE Computer Engineering,5.3,Full-time,"AWS, Python, Scikit-learn, TensorFlow, Machine Learning, PyTorch, SQL"
JOB161142,Power BI Developer,Capgemini,"Nagpur, Maharashtra","We are hiring a Power BI Developer at Capgemini in Nagpur, Maharashtra. The role requires 1-3 years of experience and BTech Computer Science or a related qualification. The candidate will collaborate with cross-functional teams, and work on projects involving Power Query, DAX, ETL, Data Modeling, Power BI, Excel, SQL. Key responsibilities include clean, transform and validate data, solving technical problems, improving performance, and communicating results. Experience with Power Query, DAX, ETL, Data Modeling, Power BI, Excel, SQL is preferred. This is a internship opportunity.",1-3 years,BTech Computer Science,4.8,Internship,"Data Modeling, ETL, DAX, SQL, Power Query, Excel, Power BI"
JOB086633,MACHINE LEARNING ENGINEER,Cognizant,"gurugram, haryana"," We are hiring a Machine Learning Engineer at Cognizant in Gurugram, Haryana . The role requires 1-3 years of exp and MBA or a related qualification . The candidate will build reports, dashboards, models or automated workflows, and work on projects involving Scikit-learn, Docker, PYTHON, Machine Learning . Key responsibilities include clean, transform and validate data, solving technical problems, improving performance, and communicating results . Experience with Scikit-learn, Docker, PYTHON, Machine Learning is preferred . This is a full-time opportunity .  ",1-3 years,MBA,5.7,full-time,"Scikit-learn, Machine Learning, Docker, Python"
JOB121031,DATA ENGINEER,Cognizant,"delhi, india","We are hiring a Data Engineer at Cognizant in Delhi, India. The role requires 5-8 years of exp and BSc Computer Science or a related qualification. The candidate will write documentation and perform testing, and work on projects involving Airflow, Spark, ETL, Python, SQL, AWS. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with Airflow, Spark, ETL, Python, SQL, AWS is preferred. This is a part-time opportunity. ",5-8 years,BSc Computer Science,8.4,Part-time,"Spark, ETL, Databricks, AWS, Python, Airflow, Azure, SQL"
JOB208902,Data Scientist,Cognizant,"Delhi, India","We are hiring a Data Scientist at Cognizant in Delhi, India. The role requires 8-12 years of experience and BSc Computer Science or a related qualification. The candidate will develop and maintain solutions related to data scientist, and work on projects involving Pandas, SQL, Statistics, Scikit-learn. Key responsibilities include develop and maintain solutions related to data scientist, solving technical problems, improving performance, and communicating results. Experience with Pandas, SQL, Statistics, Scikit-learn is preferred. This is a part-time opportunity.",8-12 years,BSc Computer Science,12.8, Part-time,"Statistics, Scikit-learn, Pandas, SQL"
JOB237977,Cloud Engineer,TechNova Solutions,"NAGPUR, MAHARASHTRA","We are hiring a Cloud Engineer at TechNova Solutions in Nagpur, Maharashtra. The role requires 0-1 years of experience and BSc Computer Science or a related qualification. The candidate will develop and maintain solutions related to cloud engineer, and work on projects involving Git, Docker, CI/CD, AWS. Key responsibilities include collaborate with cross-functional teams, solving technical problems, improving performance, and communicating results. Experience with Git, Docker, CI/CD, AWS is preferred. This is a contract opportunity.",0-1 years,BSc Computer Science,4.2,Contract,"Docker, Git, AWS, Kubernetes, CI/CD"
JOB116957,Data Engineer,Persistent Systems,"Delhi, India","We are hiring a Data Engineer at Persistent Systems in Delhi, India. The role requires 2-5 years of experience and BTech Computer Science or a related qualification. The candidate will clean, transform and validate data, and work on projects involving Spark, Azure, ETL, Databricks. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with Spark, Azure, ETL, Databricks is preferred. This is a contract opportunity.",2-5 years,,5.5,Contract,"Spark, Databricks, Azure, ETL"
JOB118368,Data Engineer,Mphasis,,"We are hiring a Data Engineer at Mphasis in Nagpur, Maharashtra. The role requires 2-5 years of experience and BSc Data Science or a related qualification. The candidate will develop and maintain solutions related to data engineer, and work on projects involving AWS, Azure, Databricks, Python, Airflow. Key responsibilities include develop and maintain solutions related to data engineer, solving technical problems, improving performance, and communicating results. Experience with AWS, Azure, Databricks, Python, Airflow is preferred. This is a internship opportunity.",2-5 years,BSc Data Science,6.5,Internship,"Azure, Databricks, AWS, Spark, Airflow, Python"
JOB263495,Power BI Developer,Capgemini,"Mumbai, Maharashtra","We are hiring a Power BI Developer at Capgemini in Mumbai, Maharashtra. The role requires 2-5 years of experience and BSc Data Science or a related qualification. The candidate will develop and maintain solutions related to power bi developer, and work on projects involving Power Query, ETL, Data Modeling, SQL. Key responsibilities include clean, transform and validate data, solving technical problems, improving performance, and communicating results. Experience with Power Query, ETL, Data Modeling, SQL is preferred. This is a internship opportunity.",2-5 years,,6.0,Internship,"SQL, Data Modeling, ETL, Power Query"
JOB068114,nlp engineer,Cognida,"Remote, India","We are hiring a NLP Engineer at Cognida in Remote, India. The role requires 8-12 years of experience and MSc Data Science or a related qualification. The candidate will clean, transform and validate data, and work on projects involving Python, SQL, spaCy, BERT, Transformers. Key responsibilities include collaborate with cross-functional teams, solving technical problems, improving performance, and communicating results. Experience with Python, SQL, spaCy, BERT, Transformers is preferred. This is a part-time opportunity.",8-12 years,Msc Data Science,12.0,Part-time,"SQL, Transformers, Python, BERT, Machine Learning, NLTK, spaCy, NLP"
JOB061866, Java Developer ,Amazon,"Bengaluru, Karnataka ","We are hiring a Java Developer at Amazon in Bengaluru, Karnataka. The role requires 0-1 years of experience and BE Computer Engineering or a related qualification. The candidate will develop and maintain solutions related to java developer, and work on projects involving SQL, REST API, Java, Git, Docker, Spring Boot. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with SQL, REST API, Java, Git, Docker, Spring Boot is preferred. This is a full-time opportunity.",0-1 years,BE Computer Engineering,3.4,full-time,"SQL, Git, Docker, REST API, Spring Boot, Java"
JOB071648,Power BI Developer,Tech Mahindra,"Bengaluru, Karnataka","We are hiring a Power BI Developer at Tech Mahindra in Bengaluru, Karnataka. The role requires 0-1 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements and convert them into technical solutions, and work on projects involving Data Modeling, ETL, DAX, Power BI. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with Data Modeling, ETL, DAX, Power BI is preferred. This is a full-time opportunity.",0-1 years,BTech Computer Science,4.7,Full-time,"DAX, Data Modeling, Excel, Power BI, ETL"
JOB295037,Power BI Developer,IBM,"Remote, India","We are hiring a Power BI Developer at IBM in Remote, India. The role requires 8-12 years of experience and BE Computer Engineering or a related qualification. The candidate will clean, transform and validate data, and work on projects involving Power BI, SQL, ETL, Power Query. Key responsibilities include analyze business requirements and convert them into technical solutions, solving technical problems, improving performance, and communicating results. Experience with Power BI, SQL, ETL, Power Query is preferred. This is a part-time opportunity.",8-12 years,BE Computer Engineering,12.9,Part-time,"SQL, Power Query, Data Modeling, ETL, Power BI"
JOB192493,Cloud Engineer,Walmart Global Tech,"Ahmedabad, Gujarat","We are hiring a Cloud Engineer at Walmart Global Tech in Ahmedabad, Gujarat. The role requires 0-1 years of experience and BSc Data Science or a related qualification. The candidate will write documentation and perform testing, and work on projects involving Azure, CI/CD, Docker, AWS. Key responsibilities include clean, transform and validate data, solving technical problems, improving performance, and communicating results. Experience with Azure, CI/CD, Docker, AWS is preferred. This is a full-time opportunity.",0-1 years,BSc Data Science,4.7,Full-time,"CI/CD, Docker, Azure, AWS"
JOB007629,Sql Developer,Amazon,"Nashik, Maharashtra","We are hiring a SQL Developer at Amazon in Nashik, Maharashtra. The role requires 8-12 years of experience and BSc Computer Science or a related qualification. The candidate will collaborate with cross-functional teams, and work on projects involving Database Design, SQL Server, Python, MySQL, ETL, SQL. Key responsibilities include analyze business requirements and convert them into technical solutions, solving technical problems, improving performance, and communicating results. Experience with Database Design, SQL Server, Python, MySQL, ETL, SQL is preferred. This is a internship opportunity.",,BSc Computer Science,13.5,Internship,"SQL Server, Python, SQL, Database Design, ETL, MySQL, PostgreSQL"
JOB257869,Data Analyst,Bosch,"Nagpur, Maharashtra"," We are hiring a Data Analyst at Bosch in Nagpur , Maharashtra. The role requires 5-8 years of experience and BE Computer Engineering or a related qualification. The candidate will clean , transform and validate data , and work on projects involving Tableau , Statistics , NumPy , Power BI. Key responsibilities include collaborate w/ cross-functional teams , solving technical problems , improving performance , and communicating results. Experience w/ Tableau , Statistics , NumPy , Power BI is preferred. This is a internship opportunity.",5-8 years,BE Computer Engineering,8.6,Internship,"NumPy, Statistics, Power BI, Tableau"
JOB227307,AI Engineer,IBM,"Nashik, Maharashtra","We are hiring a AI Engineer at IBM in Nashik, Maharashtra. The role requires 2-5 years of experience and BCA or a related qualification. The candidate will clean, transform and validate data, and work on projects involving Deep Learning, Machine Learning, NLP, LLM, Docker, PyTorch. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with Deep Learning, Machine Learning, NLP, LLM, Docker, PyTorch is preferred. This is a part-time opportunity.",2-5 years,BCA,5.3,Part-time,"Machine Learning, Docker, NLP, TensorFlow, PyTorch, Deep Learning, LLM"
JOB037145,SQL Developer,Persistent Systems,"Mumbai, Maharashtra","We are hiring a SQL Developer at Persistent Systems in Mumbai, Maharashtra. The role requires 0-1 years of experience and BE Computer Engineering or a related qualification. The candidate will clean, transform and validate data, and work on projects involving PostgreSQL, SQL Server, SQL, Python, Database Design, ETL. Key responsibilities include analyze business requirements and convert them into technical solutions, solving technical problems, improving performance, and communicating results. Experience with PostgreSQL, SQL Server, SQL, Python, Database Design, ETL is preferred. This is a full-time opportunity.",0-1 years,BE COMPUTER ENGINEERING,2.6, Full-time,"PostgreSQL, SQL Server, Python, ETL, Database Design, SQL"
JOB236204,Data Engineer,Infosys,"Ahmedabad, Gujarat","We are hiring a Data Engineer at Infosys in Ahmedabad, Gujarat. The role requires 2-5 years of experience and BCA or a related qualification. The candidate will develop and maintain solutions related to data engineer, and work on projects involving ETL, Azure, Spark, Python. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with ETL, Azure, Spark, Python is preferred. This is a full-time opportunity.",2-5 years,BCA ,6.4,Full-time,"Azure, Python, Spark, ETL"
JOB165254,AI Engineer,Wipro,"Gurugram, Haryana","We are hiring a AI Engineer at Wipro in Gurugram, Haryana. The role requires 2-5 years of experience & Any Graduate or a related qualification. The candidate will build reports, dashboards, models or automated workflows, & work on projects involving Python, Deep Learning, Docker, NLP. Key responsibilities include clean, transform & validate data, solving technical problems, improving performance, & communicating results. Experience with Python, Deep Learning, Docker, NLP is preferred. This is a full-time opportunity.",2-5 years, Any Graduate,6.4,Full-time,"tensorflow,python,nlp,deep learning,docker,llm"
JOB057203,Data Scientist,Zoho,"Nashik, Maharashtra","We are hiring a Data Scientist at Zoho in Nashik, Maharashtra. The role requires 3-6 years of experience and BSc Data Science or a related qualification. The candidate will develop and maintain solutions related to data scientist, and work on projects involving Pandas, TensorFlow, Statistics, Machine Learning. Key responsibilities include analyze business requirements and convert them into technical solutions, solving technical problems, improving performance, and communicating results. Experience with Pandas, TensorFlow, Statistics, Machine Learning is preferred. This is a part-time opportunity.",3-6 years,bsc data science,999,Part-time,"Machine Learning, TensorFlow, Pandas, Python, Statistics, SQL"
JOB173040,Cloud Engineer ,Accenture," Mumbai, Maharashtra ","We are hiring a Cloud Engineer at Accenture in Mumbai, Maharashtra. The role requires 1-3 years of experience and Any Graduate or a related qualification. The candidate will develop and maintain solutions related to cloud engineer, and work on projects involving AWS, Linux, Git, CI/CD. Key responsibilities include write documentation and perform testing, solving technical problems, improving performance, and communicating results. Experience with AWS, Linux, Git, CI/CD is preferred. This is a contract opportunity.",1-3 years,Any Graduate,3.9,Contract,AWS | Terraform | Azure | CI/CD | Linux | Git | Docker | Kubernetes
JOB194123,POWER BI DEVELOPER,Infosys,"Noida, Uttar Pradesh","We are hiring a Power BI Developer at Infosys in Noida, Uttar Pradesh. The role requires 3-6 years of experience and BSc Data Science or a related qualification. The candidate will analyze business requirements and convert them into technical solutions, and work on projects involving SQL, Data Modeling, Power BI, DAX. Key responsibilities include collaborate with cross-functional teams, solving technical problems, improving performance, and communicating results. Experience with SQL, Data Modeling, Power BI, DAX is preferred. This is a contract opportunity.",3-6 years,BSc Data Science,7.1lpa,Contract,"Power BI, SQL, DAX, Data Modeling"
JOB123808,Python Developer ,Accenture,"Pune, Maharashtra","We are hiring a Python Developer at Accenture in Pune, Maharashtra. The role requires 5-8 years of experience and BE Computer Engineering or a related qualification. The candidate will collaborate with cross-functional teams, and work on projects involving sql, Python, Django, Flask, Git, REST API. Key responsibilities include write documentation and perform testing, solving technical problems, improving performance, and communicating results. Experience with sql, Python, Django, Flask, Git, REST API is preferred. This is a contract opportunity.",5-8 years , be computer engineering ,8.6,Contract,"Django, FastAPI, Python, Docker, Git, REST API, Flask, SQL"
JOB072346,Data Scientist,Tech Mahindra,"Remote, India","We are hiring a Data Scientist at Tech Mahindra in Remote, India. The role requires 1-3 years of experience and MCA or a related qualification. The candidate will collaborate with cross-functional teams, and work on projects involving TensorFlow, Machine Learning, Scikit-learn, NumPy. Key responsibilities include analyze business requirements and convert them into technical solutions, solving technical problems, improving performance, and communicating results. Experience with TensorFlow, Machine Learning, Scikit-learn, NumPy is preferred. This is a part-time opportunity.", 1-3 years ,MCA,4.3,Part-time,"TensorFlow, NumPy, Machine Learning, Scikit-learn"
JOB104842,Python Developer,Cognizant,"Noida, Uttar Pradesh","We are hiring a Python Developer at Cognizant in Noida, Uttar Pradesh. The role requires 8-12 years of experience and MBA or a related qualification. The candidate will develop and maintain solutions related to python developer, and work on projects involving SQL, REST API, Git, Django, Flask, FastAPI. Key responsibilities include develop and maintain solutions related to python developer, solving technical problems, improving performance, and communicating results. Experience with SQL, REST API, Git, Django, Flask, FastAPI is preferred. This is a part-time opportunity.",8-12 years,MBA,13.1,Part-time,"Git, Flask, Django, FastAPI, Docker, SQL, REST API"
JOB027307,Python Developer,Wipro,"Noida, Uttar Pradesh","We are hiring a Python Developer at Wipro in Noida, Uttar Pradesh. The role requires 5-8 years of experience and BSc Data Science or a related qualification. The candidate will analyze business requirements and convert them into technical solutions, and work on projects involving Flask, SQL, Git, FastAPI. Key responsibilities include collaborate with cross-functional teams, solving technical problems, improving performance, and communicating results. Experience with Flask, SQL, Git, FastAPI is preferred. This is a part-time opportunity.",5-8 years,BSc Data Science,10.2,Part-time,
JOB174968,Python Developer,HCLTech,"Mumbai, Maharashtra","We are hiring a Python Developer at HCLTech in Mumbai, Maharashtra. The role requires 0-1 years of experience and MBA or a related qualification. The candidate will build reports, dashboards, models or automated workflows, and work on projects involving SQL, Git, Python, Docker, Flask. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with SQL, Git, Python, Docker, Flask is preferred. This is a contract opportunity.",0-1 years ,MBA,4.5,Contract,"FastAPI, Django, Flask, Git, REST API, Python, Docker, SQL"
